original_text,plagiarized_text,plagiarism_type
Machine learning is a method of data analysis that automates analytical model building. (0),Machine learning is a method of data analysis that automates analytical model building. (0),verbatim
Machine learning is a method of data analysis that automates analytical model building. (0),Machine learning refers to a method of data analysrefers to which automates analytical model building. (0),paraphrased
Machine learning is a method of data analysis that automates analytical model building. (0),Machine learning is a method of data analysis that and some added content  automates analytical model building. (0),mosaic
Machine learning is a method of data analysis that automates analytical model building. (0),)0( .gnidliub ledom lacitylana setamotua taht sisylana atad fo dohtem a si gninrael enihcaM,translated
Climate change refers to long-term shifts in temperatures and weather patterns. (0),Climate change refers to long-term shifts in temperatures and weather patterns. (0),verbatim
Climate change refers to long-term shifts in temperatures and weather patterns. (0),Climate change refers to long-term shifts in temperatures and weather patterns. (0),paraphrased
Climate change refers to long-term shifts in temperatures and weather patterns. (0),Climate change refers to long-term shifts in tempe and some added content ratures and weather patterns. (0),mosaic
Climate change refers to long-term shifts in temperatures and weather patterns. (0),)0( .snrettap rehtaew dna serutarepmet ni stfihs mret-gnol ot srefer egnahc etamilC,translated
"The water cycle involves processes like evaporation, condensation, and precipitation. (0)","The water cycle involves processes like evaporation, condensation, and precipitation. (0)",verbatim
"The water cycle involves processes like evaporation, condensation, and precipitation. (0)","The water cycle involves processes like evaporation, condensation, and precipitation. (0)",paraphrased
"The water cycle involves processes like evaporation, condensation, and precipitation. (0)","The water cycle involves processes like evaporatio and some added content n, condensation, and precipitation. (0)",mosaic
"The water cycle involves processes like evaporation, condensation, and precipitation. (0)",")0( .noitatipicerp dna ,noitasnednoc ,noitaropave ekil sessecorp sevlovni elcyc retaw ehT",translated
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (0),Photosynthesis is the process by which green plants use sunlight to synthesize foods. (0),verbatim
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (0),Photosynthesrefers to refers to the process by which green plants use sunlight to synthesize foods. (0),paraphrased
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (0),Photosynthesis is the process by which green plant and some added content s use sunlight to synthesize foods. (0),mosaic
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (0),)0( .sdoof ezisehtnys ot thgilnus esu stnalp neerg hcihw yb ssecorp eht si sisehtnysotohP,translated
The human brain is an organ that serves as the center of the nervous system. (0),The human brain is an organ that serves as the center of the nervous system. (0),verbatim
The human brain is an organ that serves as the center of the nervous system. (0),The human brain refers to an organ which serves as the center of the nervous system. (0),paraphrased
The human brain is an organ that serves as the center of the nervous system. (0),The human brain is an organ that serves as the cen and some added content ter of the nervous system. (0),mosaic
The human brain is an organ that serves as the center of the nervous system. (0),)0( .metsys suovren eht fo retnec eht sa sevres taht nagro na si niarb namuh ehT,translated
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (0),Gravity is a natural phenomenon by which all things with mass are brought toward one another. (0),verbatim
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (0),Gravity refers to a natural phenomenon by which all things with mass are brought toward one another. (0),paraphrased
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (0),Gravity is a natural phenomenon by which all thing and some added content s with mass are brought toward one another. (0),mosaic
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (0),)0( .rehtona eno drawot thguorb era ssam htiw sgniht lla hcihw yb nonemonehp larutan a si ytivarG,translated
"The cell is the basic structural, functional, and biological unit of all known living organisms. (0)","The cell is the basic structural, functional, and biological unit of all known living organisms. (0)",verbatim
"The cell is the basic structural, functional, and biological unit of all known living organisms. (0)","The cell refers to the basic structural, functional, and biological unit of all known living organrefers toms. (0)",paraphrased
"The cell is the basic structural, functional, and biological unit of all known living organisms. (0)","The cell is the basic structural, functional, and  and some added content biological unit of all known living organisms. (0)",mosaic
"The cell is the basic structural, functional, and biological unit of all known living organisms. (0)",")0( .smsinagro gnivil nwonk lla fo tinu lacigoloib dna ,lanoitcnuf ,larutcurts cisab eht si llec ehT",translated
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (0)","Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (0)",verbatim
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (0)","Artificial Intelligence refers to intelligence demonstrated by machines, unlike the natural intelligence drefers toplayed by humans. (0)",paraphrased
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (0)","Artificial Intelligence is intelligence demonstrat and some added content ed by machines, unlike the natural intelligence displayed by humans. (0)",mosaic
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (0)",")0( .snamuh yb deyalpsid ecnegilletni larutan eht ekilnu ,senihcam yb detartsnomed ecnegilletni si ecnegilletnI laicifitrA",translated
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (0),Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (0),verbatim
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (0),Renewable energy refers to derived from natural sources which are replenrefers tohed at a higher rate than they are consumed. (0),paraphrased
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (0),Renewable energy is derived from natural sources t and some added content hat are replenished at a higher rate than they are consumed. (0),mosaic
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (0),)0( .demusnoc era yeht naht etar rehgih a ta dehsinelper era taht secruos larutan morf devired si ygrene elbaweneR,translated
The Great Wall of China was built to protect Chinese states from invasions and raids. (0),The Great Wall of China was built to protect Chinese states from invasions and raids. (0),verbatim
The Great Wall of China was built to protect Chinese states from invasions and raids. (0),The Great Wall of China was built to protect Chinese states from invasions and raids. (0),paraphrased
The Great Wall of China was built to protect Chinese states from invasions and raids. (0),The Great Wall of China was built to protect Chine and some added content se states from invasions and raids. (0),mosaic
The Great Wall of China was built to protect Chinese states from invasions and raids. (0),)0( .sdiar dna snoisavni morf setats esenihC tcetorp ot tliub saw anihC fo llaW taerG ehT,translated
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (0)","World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (0)",verbatim
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (0)","World War II was a global war which lasted from 1939 to 1945, involving most of the world's nations. (0)",paraphrased
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (0)","World War II was a global war that lasted from 193 and some added content 9 to 1945, involving most of the world's nations. (0)",mosaic
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (0)",")0( .snoitan s'dlrow eht fo tsom gnivlovni ,5491 ot 9391 morf detsal taht raw labolg a saw II raW dlroW",translated
The internet is a global network of computers that enables people to share information and communicate. (0),The internet is a global network of computers that enables people to share information and communicate. (0),verbatim
The internet is a global network of computers that enables people to share information and communicate. (0),The internet refers to a global network of computers which enables people to share information and communicate. (0),paraphrased
The internet is a global network of computers that enables people to share information and communicate. (0),The internet is a global network of computers that and some added content  enables people to share information and communicate. (0),mosaic
The internet is a global network of computers that enables people to share information and communicate. (0),)0( .etacinummoc dna noitamrofni erahs ot elpoep selbane taht sretupmoc fo krowten labolg a si tenretni ehT,translated
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (0),Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (0),verbatim
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (0),Blockchain refers to a drefers totributed database which maintains a continuously growing lrefers tot of ordered records called blocks. (0),paraphrased
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (0),Blockchain is a distributed database that maintain and some added content s a continuously growing list of ordered records called blocks. (0),mosaic
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (0),)0( .skcolb dellac sdrocer deredro fo tsil gniworg ylsuounitnoc a sniatniam taht esabatad detubirtsid a si niahckcolB,translated
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (0),Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (0),verbatim
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (0),Quantum mechanics refers to a fundamental theory in physics describing nature at the smallest scales of energy levels. (0),paraphrased
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (0),Quantum mechanics is a fundamental theory in physi and some added content cs describing nature at the smallest scales of energy levels. (0),mosaic
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (0),)0( .slevel ygrene fo selacs tsellams eht ta erutan gnibircsed scisyhp ni yroeht latnemadnuf a si scinahcem mutnauQ,translated
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (0),Biodiversity refers to the variety of life on Earth in all its forms and interactions. (0),verbatim
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (0),Biodiversity refers to the variety of life on Earth in all its forms and interactions. (0),paraphrased
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (0),Biodiversity refers to the variety of life on Eart and some added content h in all its forms and interactions. (0),mosaic
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (0),)0( .snoitcaretni dna smrof sti lla ni htraE no efil fo yteirav eht ot srefer ytisrevidoiB,translated
Machine learning is a method of data analysis that automates analytical model building. (1),Machine learning is a method of data analysis that automates analytical model building. (1),verbatim
Machine learning is a method of data analysis that automates analytical model building. (1),Machine learning refers to a method of data analysrefers to which automates analytical model building. (1),paraphrased
Machine learning is a method of data analysis that automates analytical model building. (1),Machine learning is a method of data analysis that and some added content  automates analytical model building. (1),mosaic
Machine learning is a method of data analysis that automates analytical model building. (1),)1( .gnidliub ledom lacitylana setamotua taht sisylana atad fo dohtem a si gninrael enihcaM,translated
Climate change refers to long-term shifts in temperatures and weather patterns. (1),Climate change refers to long-term shifts in temperatures and weather patterns. (1),verbatim
Climate change refers to long-term shifts in temperatures and weather patterns. (1),Climate change refers to long-term shifts in temperatures and weather patterns. (1),paraphrased
Climate change refers to long-term shifts in temperatures and weather patterns. (1),Climate change refers to long-term shifts in tempe and some added content ratures and weather patterns. (1),mosaic
Climate change refers to long-term shifts in temperatures and weather patterns. (1),)1( .snrettap rehtaew dna serutarepmet ni stfihs mret-gnol ot srefer egnahc etamilC,translated
"The water cycle involves processes like evaporation, condensation, and precipitation. (1)","The water cycle involves processes like evaporation, condensation, and precipitation. (1)",verbatim
"The water cycle involves processes like evaporation, condensation, and precipitation. (1)","The water cycle involves processes like evaporation, condensation, and precipitation. (1)",paraphrased
"The water cycle involves processes like evaporation, condensation, and precipitation. (1)","The water cycle involves processes like evaporatio and some added content n, condensation, and precipitation. (1)",mosaic
"The water cycle involves processes like evaporation, condensation, and precipitation. (1)",")1( .noitatipicerp dna ,noitasnednoc ,noitaropave ekil sessecorp sevlovni elcyc retaw ehT",translated
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (1),Photosynthesis is the process by which green plants use sunlight to synthesize foods. (1),verbatim
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (1),Photosynthesrefers to refers to the process by which green plants use sunlight to synthesize foods. (1),paraphrased
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (1),Photosynthesis is the process by which green plant and some added content s use sunlight to synthesize foods. (1),mosaic
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (1),)1( .sdoof ezisehtnys ot thgilnus esu stnalp neerg hcihw yb ssecorp eht si sisehtnysotohP,translated
The human brain is an organ that serves as the center of the nervous system. (1),The human brain is an organ that serves as the center of the nervous system. (1),verbatim
The human brain is an organ that serves as the center of the nervous system. (1),The human brain refers to an organ which serves as the center of the nervous system. (1),paraphrased
The human brain is an organ that serves as the center of the nervous system. (1),The human brain is an organ that serves as the cen and some added content ter of the nervous system. (1),mosaic
The human brain is an organ that serves as the center of the nervous system. (1),)1( .metsys suovren eht fo retnec eht sa sevres taht nagro na si niarb namuh ehT,translated
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (1),Gravity is a natural phenomenon by which all things with mass are brought toward one another. (1),verbatim
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (1),Gravity refers to a natural phenomenon by which all things with mass are brought toward one another. (1),paraphrased
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (1),Gravity is a natural phenomenon by which all thing and some added content s with mass are brought toward one another. (1),mosaic
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (1),)1( .rehtona eno drawot thguorb era ssam htiw sgniht lla hcihw yb nonemonehp larutan a si ytivarG,translated
"The cell is the basic structural, functional, and biological unit of all known living organisms. (1)","The cell is the basic structural, functional, and biological unit of all known living organisms. (1)",verbatim
"The cell is the basic structural, functional, and biological unit of all known living organisms. (1)","The cell refers to the basic structural, functional, and biological unit of all known living organrefers toms. (1)",paraphrased
"The cell is the basic structural, functional, and biological unit of all known living organisms. (1)","The cell is the basic structural, functional, and  and some added content biological unit of all known living organisms. (1)",mosaic
"The cell is the basic structural, functional, and biological unit of all known living organisms. (1)",")1( .smsinagro gnivil nwonk lla fo tinu lacigoloib dna ,lanoitcnuf ,larutcurts cisab eht si llec ehT",translated
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (1)","Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (1)",verbatim
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (1)","Artificial Intelligence refers to intelligence demonstrated by machines, unlike the natural intelligence drefers toplayed by humans. (1)",paraphrased
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (1)","Artificial Intelligence is intelligence demonstrat and some added content ed by machines, unlike the natural intelligence displayed by humans. (1)",mosaic
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (1)",")1( .snamuh yb deyalpsid ecnegilletni larutan eht ekilnu ,senihcam yb detartsnomed ecnegilletni si ecnegilletnI laicifitrA",translated
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (1),Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (1),verbatim
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (1),Renewable energy refers to derived from natural sources which are replenrefers tohed at a higher rate than they are consumed. (1),paraphrased
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (1),Renewable energy is derived from natural sources t and some added content hat are replenished at a higher rate than they are consumed. (1),mosaic
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (1),)1( .demusnoc era yeht naht etar rehgih a ta dehsinelper era taht secruos larutan morf devired si ygrene elbaweneR,translated
The Great Wall of China was built to protect Chinese states from invasions and raids. (1),The Great Wall of China was built to protect Chinese states from invasions and raids. (1),verbatim
The Great Wall of China was built to protect Chinese states from invasions and raids. (1),The Great Wall of China was built to protect Chinese states from invasions and raids. (1),paraphrased
The Great Wall of China was built to protect Chinese states from invasions and raids. (1),The Great Wall of China was built to protect Chine and some added content se states from invasions and raids. (1),mosaic
The Great Wall of China was built to protect Chinese states from invasions and raids. (1),)1( .sdiar dna snoisavni morf setats esenihC tcetorp ot tliub saw anihC fo llaW taerG ehT,translated
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (1)","World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (1)",verbatim
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (1)","World War II was a global war which lasted from 1939 to 1945, involving most of the world's nations. (1)",paraphrased
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (1)","World War II was a global war that lasted from 193 and some added content 9 to 1945, involving most of the world's nations. (1)",mosaic
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (1)",")1( .snoitan s'dlrow eht fo tsom gnivlovni ,5491 ot 9391 morf detsal taht raw labolg a saw II raW dlroW",translated
The internet is a global network of computers that enables people to share information and communicate. (1),The internet is a global network of computers that enables people to share information and communicate. (1),verbatim
The internet is a global network of computers that enables people to share information and communicate. (1),The internet refers to a global network of computers which enables people to share information and communicate. (1),paraphrased
The internet is a global network of computers that enables people to share information and communicate. (1),The internet is a global network of computers that and some added content  enables people to share information and communicate. (1),mosaic
The internet is a global network of computers that enables people to share information and communicate. (1),)1( .etacinummoc dna noitamrofni erahs ot elpoep selbane taht sretupmoc fo krowten labolg a si tenretni ehT,translated
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (1),Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (1),verbatim
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (1),Blockchain refers to a drefers totributed database which maintains a continuously growing lrefers tot of ordered records called blocks. (1),paraphrased
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (1),Blockchain is a distributed database that maintain and some added content s a continuously growing list of ordered records called blocks. (1),mosaic
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (1),)1( .skcolb dellac sdrocer deredro fo tsil gniworg ylsuounitnoc a sniatniam taht esabatad detubirtsid a si niahckcolB,translated
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (1),Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (1),verbatim
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (1),Quantum mechanics refers to a fundamental theory in physics describing nature at the smallest scales of energy levels. (1),paraphrased
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (1),Quantum mechanics is a fundamental theory in physi and some added content cs describing nature at the smallest scales of energy levels. (1),mosaic
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (1),)1( .slevel ygrene fo selacs tsellams eht ta erutan gnibircsed scisyhp ni yroeht latnemadnuf a si scinahcem mutnauQ,translated
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (1),Biodiversity refers to the variety of life on Earth in all its forms and interactions. (1),verbatim
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (1),Biodiversity refers to the variety of life on Earth in all its forms and interactions. (1),paraphrased
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (1),Biodiversity refers to the variety of life on Eart and some added content h in all its forms and interactions. (1),mosaic
