original_text,plagiarized_text,plagiarism_type
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (1),)1( .snoitcaretni dna smrof sti lla ni htraE no efil fo yteirav eht ot srefer ytisrevidoiB,translated
Machine learning is a method of data analysis that automates analytical model building. (2),Machine learning is a method of data analysis that automates analytical model building. (2),verbatim
Machine learning is a method of data analysis that automates analytical model building. (2),Machine learning refers to a method of data analysrefers to which automates analytical model building. (2),paraphrased
Machine learning is a method of data analysis that automates analytical model building. (2),Machine learning is a method of data analysis that and some added content  automates analytical model building. (2),mosaic
Machine learning is a method of data analysis that automates analytical model building. (2),)2( .gnidliub ledom lacitylana setamotua taht sisylana atad fo dohtem a si gninrael enihcaM,translated
Climate change refers to long-term shifts in temperatures and weather patterns. (2),Climate change refers to long-term shifts in temperatures and weather patterns. (2),verbatim
Climate change refers to long-term shifts in temperatures and weather patterns. (2),Climate change refers to long-term shifts in temperatures and weather patterns. (2),paraphrased
Climate change refers to long-term shifts in temperatures and weather patterns. (2),Climate change refers to long-term shifts in tempe and some added content ratures and weather patterns. (2),mosaic
Climate change refers to long-term shifts in temperatures and weather patterns. (2),)2( .snrettap rehtaew dna serutarepmet ni stfihs mret-gnol ot srefer egnahc etamilC,translated
"The water cycle involves processes like evaporation, condensation, and precipitation. (2)","The water cycle involves processes like evaporation, condensation, and precipitation. (2)",verbatim
"The water cycle involves processes like evaporation, condensation, and precipitation. (2)","The water cycle involves processes like evaporation, condensation, and precipitation. (2)",paraphrased
"The water cycle involves processes like evaporation, condensation, and precipitation. (2)","The water cycle involves processes like evaporatio and some added content n, condensation, and precipitation. (2)",mosaic
"The water cycle involves processes like evaporation, condensation, and precipitation. (2)",")2( .noitatipicerp dna ,noitasnednoc ,noitaropave ekil sessecorp sevlovni elcyc retaw ehT",translated
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (2),Photosynthesis is the process by which green plants use sunlight to synthesize foods. (2),verbatim
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (2),Photosynthesrefers to refers to the process by which green plants use sunlight to synthesize foods. (2),paraphrased
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (2),Photosynthesis is the process by which green plant and some added content s use sunlight to synthesize foods. (2),mosaic
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (2),)2( .sdoof ezisehtnys ot thgilnus esu stnalp neerg hcihw yb ssecorp eht si sisehtnysotohP,translated
The human brain is an organ that serves as the center of the nervous system. (2),The human brain is an organ that serves as the center of the nervous system. (2),verbatim
The human brain is an organ that serves as the center of the nervous system. (2),The human brain refers to an organ which serves as the center of the nervous system. (2),paraphrased
The human brain is an organ that serves as the center of the nervous system. (2),The human brain is an organ that serves as the cen and some added content ter of the nervous system. (2),mosaic
The human brain is an organ that serves as the center of the nervous system. (2),)2( .metsys suovren eht fo retnec eht sa sevres taht nagro na si niarb namuh ehT,translated
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (2),Gravity is a natural phenomenon by which all things with mass are brought toward one another. (2),verbatim
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (2),Gravity refers to a natural phenomenon by which all things with mass are brought toward one another. (2),paraphrased
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (2),Gravity is a natural phenomenon by which all thing and some added content s with mass are brought toward one another. (2),mosaic
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (2),)2( .rehtona eno drawot thguorb era ssam htiw sgniht lla hcihw yb nonemonehp larutan a si ytivarG,translated
"The cell is the basic structural, functional, and biological unit of all known living organisms. (2)","The cell is the basic structural, functional, and biological unit of all known living organisms. (2)",verbatim
"The cell is the basic structural, functional, and biological unit of all known living organisms. (2)","The cell refers to the basic structural, functional, and biological unit of all known living organrefers toms. (2)",paraphrased
"The cell is the basic structural, functional, and biological unit of all known living organisms. (2)","The cell is the basic structural, functional, and  and some added content biological unit of all known living organisms. (2)",mosaic
"The cell is the basic structural, functional, and biological unit of all known living organisms. (2)",")2( .smsinagro gnivil nwonk lla fo tinu lacigoloib dna ,lanoitcnuf ,larutcurts cisab eht si llec ehT",translated
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (2)","Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (2)",verbatim
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (2)","Artificial Intelligence refers to intelligence demonstrated by machines, unlike the natural intelligence drefers toplayed by humans. (2)",paraphrased
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (2)","Artificial Intelligence is intelligence demonstrat and some added content ed by machines, unlike the natural intelligence displayed by humans. (2)",mosaic
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (2)",")2( .snamuh yb deyalpsid ecnegilletni larutan eht ekilnu ,senihcam yb detartsnomed ecnegilletni si ecnegilletnI laicifitrA",translated
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (2),Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (2),verbatim
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (2),Renewable energy refers to derived from natural sources which are replenrefers tohed at a higher rate than they are consumed. (2),paraphrased
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (2),Renewable energy is derived from natural sources t and some added content hat are replenished at a higher rate than they are consumed. (2),mosaic
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (2),)2( .demusnoc era yeht naht etar rehgih a ta dehsinelper era taht secruos larutan morf devired si ygrene elbaweneR,translated
The Great Wall of China was built to protect Chinese states from invasions and raids. (2),The Great Wall of China was built to protect Chinese states from invasions and raids. (2),verbatim
The Great Wall of China was built to protect Chinese states from invasions and raids. (2),The Great Wall of China was built to protect Chinese states from invasions and raids. (2),paraphrased
The Great Wall of China was built to protect Chinese states from invasions and raids. (2),The Great Wall of China was built to protect Chine and some added content se states from invasions and raids. (2),mosaic
The Great Wall of China was built to protect Chinese states from invasions and raids. (2),)2( .sdiar dna snoisavni morf setats esenihC tcetorp ot tliub saw anihC fo llaW taerG ehT,translated
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (2)","World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (2)",verbatim
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (2)","World War II was a global war which lasted from 1939 to 1945, involving most of the world's nations. (2)",paraphrased
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (2)","World War II was a global war that lasted from 193 and some added content 9 to 1945, involving most of the world's nations. (2)",mosaic
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (2)",")2( .snoitan s'dlrow eht fo tsom gnivlovni ,5491 ot 9391 morf detsal taht raw labolg a saw II raW dlroW",translated
The internet is a global network of computers that enables people to share information and communicate. (2),The internet is a global network of computers that enables people to share information and communicate. (2),verbatim
The internet is a global network of computers that enables people to share information and communicate. (2),The internet refers to a global network of computers which enables people to share information and communicate. (2),paraphrased
The internet is a global network of computers that enables people to share information and communicate. (2),The internet is a global network of computers that and some added content  enables people to share information and communicate. (2),mosaic
The internet is a global network of computers that enables people to share information and communicate. (2),)2( .etacinummoc dna noitamrofni erahs ot elpoep selbane taht sretupmoc fo krowten labolg a si tenretni ehT,translated
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (2),Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (2),verbatim
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (2),Blockchain refers to a drefers totributed database which maintains a continuously growing lrefers tot of ordered records called blocks. (2),paraphrased
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (2),Blockchain is a distributed database that maintain and some added content s a continuously growing list of ordered records called blocks. (2),mosaic
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (2),)2( .skcolb dellac sdrocer deredro fo tsil gniworg ylsuounitnoc a sniatniam taht esabatad detubirtsid a si niahckcolB,translated
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (2),Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (2),verbatim
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (2),Quantum mechanics refers to a fundamental theory in physics describing nature at the smallest scales of energy levels. (2),paraphrased
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (2),Quantum mechanics is a fundamental theory in physi and some added content cs describing nature at the smallest scales of energy levels. (2),mosaic
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (2),)2( .slevel ygrene fo selacs tsellams eht ta erutan gnibircsed scisyhp ni yroeht latnemadnuf a si scinahcem mutnauQ,translated
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (2),Biodiversity refers to the variety of life on Earth in all its forms and interactions. (2),verbatim
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (2),Biodiversity refers to the variety of life on Earth in all its forms and interactions. (2),paraphrased
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (2),Biodiversity refers to the variety of life on Eart and some added content h in all its forms and interactions. (2),mosaic
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (2),)2( .snoitcaretni dna smrof sti lla ni htraE no efil fo yteirav eht ot srefer ytisrevidoiB,translated
Machine learning is a method of data analysis that automates analytical model building. (3),Machine learning is a method of data analysis that automates analytical model building. (3),verbatim
Machine learning is a method of data analysis that automates analytical model building. (3),Machine learning refers to a method of data analysrefers to which automates analytical model building. (3),paraphrased
Machine learning is a method of data analysis that automates analytical model building. (3),Machine learning is a method of data analysis that and some added content  automates analytical model building. (3),mosaic
Machine learning is a method of data analysis that automates analytical model building. (3),)3( .gnidliub ledom lacitylana setamotua taht sisylana atad fo dohtem a si gninrael enihcaM,translated
Climate change refers to long-term shifts in temperatures and weather patterns. (3),Climate change refers to long-term shifts in temperatures and weather patterns. (3),verbatim
Climate change refers to long-term shifts in temperatures and weather patterns. (3),Climate change refers to long-term shifts in temperatures and weather patterns. (3),paraphrased
Climate change refers to long-term shifts in temperatures and weather patterns. (3),Climate change refers to long-term shifts in tempe and some added content ratures and weather patterns. (3),mosaic
Climate change refers to long-term shifts in temperatures and weather patterns. (3),)3( .snrettap rehtaew dna serutarepmet ni stfihs mret-gnol ot srefer egnahc etamilC,translated
"The water cycle involves processes like evaporation, condensation, and precipitation. (3)","The water cycle involves processes like evaporation, condensation, and precipitation. (3)",verbatim
"The water cycle involves processes like evaporation, condensation, and precipitation. (3)","The water cycle involves processes like evaporation, condensation, and precipitation. (3)",paraphrased
"The water cycle involves processes like evaporation, condensation, and precipitation. (3)","The water cycle involves processes like evaporatio and some added content n, condensation, and precipitation. (3)",mosaic
"The water cycle involves processes like evaporation, condensation, and precipitation. (3)",")3( .noitatipicerp dna ,noitasnednoc ,noitaropave ekil sessecorp sevlovni elcyc retaw ehT",translated
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (3),Photosynthesis is the process by which green plants use sunlight to synthesize foods. (3),verbatim
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (3),Photosynthesrefers to refers to the process by which green plants use sunlight to synthesize foods. (3),paraphrased
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (3),Photosynthesis is the process by which green plant and some added content s use sunlight to synthesize foods. (3),mosaic
Photosynthesis is the process by which green plants use sunlight to synthesize foods. (3),)3( .sdoof ezisehtnys ot thgilnus esu stnalp neerg hcihw yb ssecorp eht si sisehtnysotohP,translated
The human brain is an organ that serves as the center of the nervous system. (3),The human brain is an organ that serves as the center of the nervous system. (3),verbatim
The human brain is an organ that serves as the center of the nervous system. (3),The human brain refers to an organ which serves as the center of the nervous system. (3),paraphrased
The human brain is an organ that serves as the center of the nervous system. (3),The human brain is an organ that serves as the cen and some added content ter of the nervous system. (3),mosaic
The human brain is an organ that serves as the center of the nervous system. (3),)3( .metsys suovren eht fo retnec eht sa sevres taht nagro na si niarb namuh ehT,translated
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (3),Gravity is a natural phenomenon by which all things with mass are brought toward one another. (3),verbatim
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (3),Gravity refers to a natural phenomenon by which all things with mass are brought toward one another. (3),paraphrased
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (3),Gravity is a natural phenomenon by which all thing and some added content s with mass are brought toward one another. (3),mosaic
Gravity is a natural phenomenon by which all things with mass are brought toward one another. (3),)3( .rehtona eno drawot thguorb era ssam htiw sgniht lla hcihw yb nonemonehp larutan a si ytivarG,translated
"The cell is the basic structural, functional, and biological unit of all known living organisms. (3)","The cell is the basic structural, functional, and biological unit of all known living organisms. (3)",verbatim
"The cell is the basic structural, functional, and biological unit of all known living organisms. (3)","The cell refers to the basic structural, functional, and biological unit of all known living organrefers toms. (3)",paraphrased
"The cell is the basic structural, functional, and biological unit of all known living organisms. (3)","The cell is the basic structural, functional, and  and some added content biological unit of all known living organisms. (3)",mosaic
"The cell is the basic structural, functional, and biological unit of all known living organisms. (3)",")3( .smsinagro gnivil nwonk lla fo tinu lacigoloib dna ,lanoitcnuf ,larutcurts cisab eht si llec ehT",translated
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (3)","Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (3)",verbatim
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (3)","Artificial Intelligence refers to intelligence demonstrated by machines, unlike the natural intelligence drefers toplayed by humans. (3)",paraphrased
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (3)","Artificial Intelligence is intelligence demonstrat and some added content ed by machines, unlike the natural intelligence displayed by humans. (3)",mosaic
"Artificial Intelligence is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans. (3)",")3( .snamuh yb deyalpsid ecnegilletni larutan eht ekilnu ,senihcam yb detartsnomed ecnegilletni si ecnegilletnI laicifitrA",translated
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (3),Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (3),verbatim
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (3),Renewable energy refers to derived from natural sources which are replenrefers tohed at a higher rate than they are consumed. (3),paraphrased
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (3),Renewable energy is derived from natural sources t and some added content hat are replenished at a higher rate than they are consumed. (3),mosaic
Renewable energy is derived from natural sources that are replenished at a higher rate than they are consumed. (3),)3( .demusnoc era yeht naht etar rehgih a ta dehsinelper era taht secruos larutan morf devired si ygrene elbaweneR,translated
The Great Wall of China was built to protect Chinese states from invasions and raids. (3),The Great Wall of China was built to protect Chinese states from invasions and raids. (3),verbatim
The Great Wall of China was built to protect Chinese states from invasions and raids. (3),The Great Wall of China was built to protect Chinese states from invasions and raids. (3),paraphrased
The Great Wall of China was built to protect Chinese states from invasions and raids. (3),The Great Wall of China was built to protect Chine and some added content se states from invasions and raids. (3),mosaic
The Great Wall of China was built to protect Chinese states from invasions and raids. (3),)3( .sdiar dna snoisavni morf setats esenihC tcetorp ot tliub saw anihC fo llaW taerG ehT,translated
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (3)","World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (3)",verbatim
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (3)","World War II was a global war which lasted from 1939 to 1945, involving most of the world's nations. (3)",paraphrased
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (3)","World War II was a global war that lasted from 193 and some added content 9 to 1945, involving most of the world's nations. (3)",mosaic
"World War II was a global war that lasted from 1939 to 1945, involving most of the world's nations. (3)",")3( .snoitan s'dlrow eht fo tsom gnivlovni ,5491 ot 9391 morf detsal taht raw labolg a saw II raW dlroW",translated
The internet is a global network of computers that enables people to share information and communicate. (3),The internet is a global network of computers that enables people to share information and communicate. (3),verbatim
The internet is a global network of computers that enables people to share information and communicate. (3),The internet refers to a global network of computers which enables people to share information and communicate. (3),paraphrased
The internet is a global network of computers that enables people to share information and communicate. (3),The internet is a global network of computers that and some added content  enables people to share information and communicate. (3),mosaic
The internet is a global network of computers that enables people to share information and communicate. (3),)3( .etacinummoc dna noitamrofni erahs ot elpoep selbane taht sretupmoc fo krowten labolg a si tenretni ehT,translated
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (3),Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (3),verbatim
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (3),Blockchain refers to a drefers totributed database which maintains a continuously growing lrefers tot of ordered records called blocks. (3),paraphrased
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (3),Blockchain is a distributed database that maintain and some added content s a continuously growing list of ordered records called blocks. (3),mosaic
Blockchain is a distributed database that maintains a continuously growing list of ordered records called blocks. (3),)3( .skcolb dellac sdrocer deredro fo tsil gniworg ylsuounitnoc a sniatniam taht esabatad detubirtsid a si niahckcolB,translated
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (3),Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (3),verbatim
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (3),Quantum mechanics refers to a fundamental theory in physics describing nature at the smallest scales of energy levels. (3),paraphrased
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (3),Quantum mechanics is a fundamental theory in physi and some added content cs describing nature at the smallest scales of energy levels. (3),mosaic
Quantum mechanics is a fundamental theory in physics describing nature at the smallest scales of energy levels. (3),)3( .slevel ygrene fo selacs tsellams eht ta erutan gnibircsed scisyhp ni yroeht latnemadnuf a si scinahcem mutnauQ,translated
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (3),Biodiversity refers to the variety of life on Earth in all its forms and interactions. (3),verbatim
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (3),Biodiversity refers to the variety of life on Earth in all its forms and interactions. (3),paraphrased
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (3),Biodiversity refers to the variety of life on Eart and some added content h in all its forms and interactions. (3),mosaic
Biodiversity refers to the variety of life on Earth in all its forms and interactions. (3),)3( .snoitcaretni dna smrof sti lla ni htraE no efil fo yteirav eht ot srefer ytisrevidoiB,translated
